Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC,Year
Leo Cullen,MIA,M,30,30,2619,0,0,1,0,18,11,0,1,1,1999
Imad Baba,NE ,M,2,2,108,0,0,1,1,3,3,0,0,0,1999
Lazo Alavanja,DAL,M,1,0,45,0,0,1,0,0,0,0,0,0,1999
Eric Dade,DAL,D,24,19,1630,0,0,1,0,26,11,0,5,1,1999
Brian Bates,DC ,M,1,0,64,0,0,1,0,0,0,0,0,0,1999
Refik Sabanadzovic,KC ,M,6,6,436,0,0,1,0,4,4,0,1,0,1999
Kevin Knight,MET,D,11,8,732,0,0,1,1,3,7,0,0,0,1999
Chris Martinez,COL,D,16,8,798,0,0,1,1,11,5,0,0,0,1999
Dan Stebbins,CHI,F,1,0,45,0,0,1,0,0,0,0,0,0,1999
Scott Uderitz,KC ,D,2,2,143,0,0,1,0,6,4,0,0,0,1999
Alan Prampin,TB ,F,4,1,117,0,0,2,1,0,2,3,0,0,1999
Paul Wright,KC ,F,6,1,148,0,0,2,0,3,2,0,1,0,1999
Alen Kozic,MIA,M,4,1,116,0,0,2,0,3,1,0,0,0,1999
David Hayes,DC ,F,5,0,44,0,0,2,1,0,1,1,0,0,1999
Jan Eriksson,TB ,D,6,6,525,0,0,2,0,6,3,0,1,0,1999
Dan Calichman,NE ,D,25,25,2009,0,0,2,2,44,40,0,3,0,1999
Joseph Addo,TB ,D,8,8,675,0,0,2,0,9,13,0,1,0,1999
Jason Boyce,MIA,F,4,1,153,0,0,3,2,2,2,0,0,0,1999
Francis Okaroh,CHI,D,26,26,2269,0,0,3,0,41,20,0,6,0,1999
Wade Webber,MIA,D,7,5,540,0,0,3,1,10,0,0,1,0,1999
Kirk Wilson,DAL,M,5,2,222,0,0,3,1,5,2,0,0,0,1999
Tahj Jakins,COL,D,19,9,803,0,0,4,1,19,9,1,2,0,1999
John Ball,CHI,M,9,4,480,0,0,5,2,7,8,2,2,0,1999
Jeremy Aldrich,MIA,D,18,14,1365,0,0,6,2,14,16,0,3,0,1999
Nino Da Silva,KC ,F,8,3,331,0,0,6,3,12,11,2,1,0,1999
R.T. Moore,TB ,D,17,12,1117,0,0,7,2,14,11,0,2,0,1999
Tony Kuhn,MIA,F,16,4,484,0,0,10,4,12,8,4,1,0,1999
Paulo Dos Santos,NE ,M,16,4,652,0,0,11,4,28,13,0,1,0,1999
Vicente Figueroa,KC ,D,22,14,1312,0,0,13,5,21,22,4,4,0,1999
Josh Keller,CHI,M,21,19,1787,0,0,14,3,26,18,0,1,0,1999
Daniel Hernandez,LA ,M,14,9,901,0,0,14,6,12,25,0,2,0,1999
Sean Bowers,KC ,D,25,20,1827,0,0,15,4,31,11,1,5,0,1999
Mamadou Diallo,TB ,F,28,26,2405,26,4,152,76,74,72,82,9,0,2000
Ante Razov,CHI,F,24,24,2145,18,6,127,63,49,68,23,3,2,2000
Clint Mathis,LA ,M,29,28,2520,16,14,94,47,32,53,19,6,0,2000
Diego Serna,MIA,F,31,25,2236,16,10,87,41,83,77,22,8,0,2000
Adolfo Valencia,MET,F,31,25,2295,16,9,60,32,54,61,49,3,1,2000
Dante Washington,CLB,F,30,28,2541,15,9,80,44,39,58,17,1,0,2000
Wolde Harris,NE ,F,31,31,2640,15,7,101,46,57,65,26,1,0,2000
Ariel Graziani,DAL,F,24,24,2138,15,3,74,45,58,62,37,6,1,2000
Alex Comas,MET,M,25,17,1571,13,6,48,34,43,26,15,3,0,2000
Jaime Moreno,DC ,F,25,25,2213,12,7,68,37,35,81,19,0,0,2000
Miklos Molnar,KC ,F,17,16,1353,12,1,53,28,32,27,18,5,0,2000
Jason Kreis,DAL,M,27,27,2409,11,13,82,41,61,51,14,4,0,2000
Junior Agogo,CHI,F,23,22,1993,10,7,103,48,48,40,37,3,0,2000
Dema Kovalenko,CHI,M,31,28,2429,10,5,52,35,45,51,8,8,0,2000
Chris Henderson,KC ,M,31,30,2694,9,9,50,24,79,60,36,4,0,2000
Imad Baba,NE ,M,30,29,2508,9,8,70,37,38,40,9,3,0,2000
Hristo Stoitchkov,CHI,F,18,12,987,9,7,54,24,14,31,1,3,1,2000
Raul Diaz Arce,DC ,F,23,21,1874,9,2,64,32,30,25,28,2,0,2000
Roy Lassiter,MIA,F,27,20,1838,8,9,54,38,18,31,45,3,1,2000
Manny Lagos,TB ,M,27,17,1500,8,7,45,20,15,41,4,2,0,2000
Abdul Thompson Conteh,SJ ,F,31,27,2356,8,3,71,41,49,64,33,2,0,2000
Cobi Jones,LA ,M,25,25,2291,7,6,46,24,30,67,18,6,0,2000
Josh Wolff,CHI,F,25,20,1917,7,5,49,26,28,23,15,4,0,2000
Paul Bravo,COL,M,27,24,2009,7,3,51,22,36,28,7,3,0,2000
Jorge Dely Valdes,COL,F,20,13,1352,7,1,50,25,26,26,18,2,0,2000
Robert Warzycha,CLB,M,30,29,2646,6,13,63,26,43,55,1,6,1,2000
Chris Klein,KC ,M,27,26,2205,6,8,31,14,21,16,10,1,0,2000
Brian West,CLB,M-F,28,24,2249,6,6,30,17,44,42,19,5,0,2000
Brian McBride,CLB,F,18,17,1523,6,5,47,22,12,48,5,1,0,2000
Jim Rooney,MIA,M,30,27,2429,6,4,48,14,44,28,1,5,0,2000
Greg Vanney,LA ,D,27,27,2526,6,2,25,14,40,27,0,6,0,2000
Steve Ralston,TB ,M,30,30,2631,5,17,38,18,31,55,5,2,0,2000
Peter Nowak,CHI,M,28,28,2402,5,14,36,17,41,70,2,7,1,2000
Eric Quill,TB ,F,30,25,2205,5,11,54,24,28,30,12,1,0,2000
Jay Heaps,MIA,D,29,29,2627,5,6,36,15,58,46,10,6,2,2000
Petter Villegas,MET,M,29,27,2341,5,6,55,19,57,59,10,5,0,2000
Simon Elliott,LA ,M,28,27,2497,5,5,51,22,22,33,1,1,0,2000
Dario Brose,SJ ,M,28,21,2088,5,4,63,27,39,35,0,5,0,2000
Aleksey Korol,DAL,F,21,11,1024,5,3,30,17,18,12,10,0,0,2000
Ted Chronopoulos,NE ,D,25,25,2205,5,2,20,9,31,36,10,4,0,2000
Wojtek Krakowiak,SJ ,M,24,11,1282,5,0,21,11,37,22,6,4,0,2000
Marco Etcheverry,DC ,M,22,20,1810,4,8,34,16,25,39,8,6,1,2000
Mauricio Cienfuegos,LA ,M,28,28,2612,4,7,45,18,38,57,6,4,0,2000
Welton,MIA,F,26,14,1365,4,7,45,22,30,42,19,2,0,2000
Maurice Johnston,KC ,M-F,25,22,1982,4,7,46,18,39,49,10,6,0,2000
Jorge Rodriguez,DAL,M-D,25,22,2066,4,6,17,8,22,16,0,3,1,2000
Luis Hernandez,LA ,F,16,15,1407,4,6,64,24,38,36,27,5,0,2000
Marcelo Balboa,COL,D,28,28,2495,4,5,42,20,22,26,0,4,1,2000
Andy Williams,MIA,M,20,14,1297,4,4,36,16,23,54,4,0,0,2000
Eric Dade,DAL,D,31,30,2666,4,2,12,9,57,24,1,3,0,2000
John Doyle,SJ ,D,20,20,1776,4,2,20,11,41,19,5,3,1,2000
Steve Trittschuh,TB ,D,32,32,2878,4,1,19,10,43,36,1,2,0,2000
Ronald Cerritos,SJ ,F,9,9,850,4,1,30,16,6,11,21,0,0,2000
Pete Marino,DC ,F,15,5,616,4,0,16,13,16,10,7,2,0,2000
Sebastien Vorbe,LA ,M,19,10,915,4,0,18,7,24,18,3,1,0,2000
Preki,KC ,M,31,29,2485,3,15,95,31,23,57,2,2,0,2000
Mark Chung,MET,M,30,28,2539,3,11,60,28,42,64,11,2,0,2000
Matt McKeon,KC ,D,30,30,2631,3,11,74,23,75,50,0,7,1,2000
Oscar Pareja,DAL,M,29,27,2354,3,10,37,15,58,77,3,6,0,2000
Henry Gutierrez,MIA,M,27,23,1994,3,8,31,16,33,50,2,4,1,2000
Mauricio Ramos,NE ,M,21,21,1677,3,8,41,15,14,23,0,6,0,2000
Lubos Kubik,CHI,D,13,12,973,3,6,27,11,20,14,0,5,0,2000
Sasha Victorine,LA ,M,26,21,1953,3,6,35,17,37,37,11,0,0,2000
Paul Caligiuri,LA ,D,28,24,2212,3,4,18,9,36,29,2,3,0,2000
Khodadad Azizi,SJ ,F,20,18,1548,3,4,29,16,19,64,3,4,1,2000
John Wilmar Perez,CLB,M,30,30,2600,3,3,31,9,28,64,4,4,0,2000
Jamar Beasley,NE ,M,19,6,848,3,3,32,16,19,32,9,1,0,2000
A.J. Wood,DC ,F,24,12,1237,3,3,45,21,39,29,11,3,0,2000
Gary Glasgow,KC ,F,11,5,479,3,2,10,4,6,13,8,0,0,2000
Ted Eck,DAL,M-F,29,22,1918,3,2,16,7,45,46,0,5,0,2000
Kevin Anderson,COL,M-D,21,9,891,3,2,19,6,23,6,0,2,0,2000
Jason Farrell,CLB,F,24,13,1257,3,2,25,9,14,12,1,1,0,2000
Peter Vagenas,LA ,M,16,12,1044,3,1,13,7,17,18,2,0,0,2000
Ivan McKinley,MIA,D-M,23,22,1918,3,1,16,8,39,13,0,10,2,2000
Billy Walsh,MET,M,24,19,1756,3,1,18,11,37,10,0,6,1,2000
Mike Petke,MET,D,30,29,2672,3,1,19,10,40,24,0,4,1,2000
Carey Talley,DC ,D,29,28,2458,3,1,27,12,76,41,1,8,0,2000
Chris Albright,DC ,D,25,21,1823,3,0,48,17,45,37,14,2,0,2000
Martin Machon,MIA,M,24,21,1952,2,16,42,16,21,26,10,1,0,2000
Diego Gutierrez,CHI,D,24,23,1959,2,13,28,12,36,42,6,3,1,2000
Chad Deering,DAL,M,29,24,2195,2,9,34,16,43,29,4,8,0,2000
Jesse Marsch,CHI,M,30,29,2658,2,8,29,8,54,31,5,8,0,2000
Jeff Cunningham,CLB,F,29,16,1755,2,8,48,19,23,66,22,3,0,2000
Evan Whitfield,CHI,D,25,11,1278,2,7,15,7,36,29,5,8,1,2000
Josh Keller,TB ,M,31,31,2775,2,7,22,8,69,40,1,6,1,2000
John Harkes,NE ,M,28,27,2511,2,6,23,8,34,44,1,3,0,2000
Tab Ramos,MET,M,20,18,1660,2,6,23,8,28,55,1,4,1,2000
Matt Okoh,COL,F,21,12,1039,2,6,36,5,40,34,9,4,0,2000
Lazo Alavanja,DAL,M,24,15,1440,2,5,16,5,32,23,0,4,0,2000
Henry Zambrano,COL,F,18,13,1077,2,4,23,12,19,21,18,2,0,2000
Antonio Martinez,DAL,F-M,15,3,531,2,3,9,5,12,14,5,1,0,2000
Peter Vermes,KC ,D,32,32,2916,2,3,14,5,39,35,0,5,0,2000
Ian Russell,SJ ,D,28,20,1917,2,3,19,8,32,32,13,2,0,2000
Kerry Zavagnin,KC ,M,31,31,2743,2,3,22,6,48,61,1,6,0,2000
DaMarcus Beasley,CHI,D,18,11,1085,2,2,10,4,10,47,5,0,0,2000
Jason Bent,COL,M,21,21,1897,2,2,12,5,24,35,0,2,1,2000
Steve Jolley,LA ,D,28,27,2496,2,2,15,5,51,19,0,4,0,2000
Joe Franchino,LA ,M,30,29,2604,2,2,16,5,50,34,1,6,0,2000
Harut Karapetyan,SJ ,F,24,22,1744,2,2,41,19,26,24,16,1,0,2000
Judah Cooks,DC ,M,15,7,629,2,1,5,4,13,5,0,4,1,2000
Carlos Llamosa,DC ,D,23,20,1974,2,1,8,3,55,36,0,8,1,2000
Ross Paule,COL,M,16,6,807,2,1,11,4,15,10,1,2,0,2000
Francisco Gomez,KC ,M,14,7,709,2,1,19,9,13,9,0,2,0,2000
Miles Joseph,CLB,M,23,10,942,2,1,21,11,19,10,0,2,0,2000
Scott Vermillion,COL,D,28,25,2244,2,1,24,9,55,25,2,6,0,2000
Mauricio Solis,SJ ,M,18,17,1565,2,1,24,10,28,18,0,4,1,2000
Wes Hart,COL,D-M,7,4,480,2,0,8,4,14,17,4,1,0,2000
Carlos Valderrama,TB ,M,32,32,2897,1,26,26,13,15,50,2,4,0,2000
Anders Limpar,COL,M,18,12,1116,1,9,20,11,21,40,4,3,0,2000
Dominic Kinnear,TB ,M,23,12,1275,1,8,12,3,29,19,0,6,0,2000
Roy Myers,LA ,M-F,25,19,1712,1,7,27,12,53,46,5,3,2,2000
Bobby Rhine,DAL,M,23,17,1384,1,6,27,14,23,28,13,0,0,2000
Mark Santel,DAL,M,25,18,1744,1,4,13,7,23,27,8,0,0,2000
Geoff Aunger,DC ,D,26,22,2081,1,4,21,7,67,25,1,11,0,2000
Johnny Torres,NE ,F,20,14,1328,1,4,28,21,36,30,14,4,0,2000
Joey DiGiamarino,COL,M,18,6,824,1,3,11,6,21,16,3,2,0,2000
Mike Sorber,CHI,M,19,13,1091,1,3,11,4,22,10,0,2,0,2000
Ritchie Kotschau,TB ,D,32,29,2707,1,3,14,4,28,30,3,3,0,2000
Ezra Hendrickson,LA ,D,22,20,1867,1,3,18,5,40,26,1,3,3,2000
Ben Olsen,DC ,M,13,13,1020,1,3,19,9,21,28,10,0,0,2000
Jeff Agoos,DC ,D,23,23,2089,1,3,30,6,20,46,0,3,0,2000
William Sunsing,NE ,F,26,9,1263,1,3,38,17,32,40,23,3,0,2000
Leonel Alvarez,NE ,M,28,28,2474,1,2,11,4,60,37,0,5,1,2000
John Maessner,DC ,M-D,24,17,1486,1,2,11,6,18,15,2,3,0,2000
Mike Duhaney,CLB,D,20,14,1205,1,2,13,8,18,16,3,1,0,2000
Eric Wynalda,MIA,F,11,6,653,1,2,15,5,9,9,8,1,0,2000
Ansil Elcock,CLB,D,19,18,1679,1,2,16,8,37,35,0,5,0,2000
Tyrone Marshall,MIA,D,23,21,1780,1,2,18,4,27,27,8,4,2,2000
Paul Keegan,NE ,F,11,0,83,1,1,1,1,6,3,2,0,0,2000
Joseph Addo,TB ,D,32,32,2934,1,1,2,1,19,35,0,5,0,2000
Vicente Figueroa,KC ,D,8,3,322,1,1,5,3,8,10,0,1,0,2000
Steve Shak,MET,D,23,14,1393,1,1,6,2,41,9,2,4,1,2000
Danny Califf,LA ,D,18,16,1518,1,1,9,4,35,15,2,6,0,2000
Carlos Bocanegra,CHI,D,27,27,2402,1,1,10,2,51,42,0,5,0,2000
Mauricio Wright,NE ,D,26,26,2404,1,1,14,5,32,49,1,11,0,2000
Mike Lapper,CLB,D,24,20,1923,1,1,14,3,37,22,0,4,0,2000
John Wolyniec,CHI,F,15,1,461,1,1,15,8,13,8,4,1,0,2000
Kalin Bankov,TB ,M,18,9,890,1,1,16,4,7,10,2,0,0,2000
Esmundo Rodriguez,DAL,M,8,2,275,1,0,1,1,10,6,6,1,0,2000
Tom Soehn,CHI,D,19,11,1091,1,0,2,1,13,8,0,1,0,2000
Kyle Beckerman,RSL,M,2,1,110,1,0,2,1,2,2,1,0,0,2000
Andrew Lewis,CHI,M,19,17,1589,1,0,4,1,17,11,0,2,1,2000
Brian Dunseth,NE ,D,22,22,1970,1,0,7,3,24,15,0,3,0,2000
Brian Kelly,LA ,M,18,6,641,1,0,10,4,8,8,7,1,0,2000
Seth George,LA ,F,14,5,459,1,0,13,6,13,9,12,1,0,2000
Mario Gori,CLB,D,25,19,1656,1,0,13,2,33,19,3,5,0,2000
Jose Luis Morales,NE ,F,8,6,448,1,0,15,9,7,12,5,0,0,2000
Danny Pena,LA ,D,14,14,1197,1,0,18,5,10,20,0,3,0,2000
Richard Mulrooney,SJ ,M,29,29,2646,0,9,30,15,36,56,2,3,1,2000
Paul Broome,DAL,M,20,12,1112,0,7,6,2,18,23,4,5,0,2000
Chris Armas,CHI,M,16,16,1479,0,5,11,5,35,17,0,2,0,2000
Jason Moore,COL,M,27,27,2385,0,5,18,6,53,83,10,5,0,2000
Chad McCarty,TB ,D,22,22,1830,0,4,13,3,34,10,1,7,1,2000
Zak Ibsen,LA ,M,27,15,1516,0,4,25,12,29,20,5,3,0,2000
Mike Clark,CLB,D,28,28,2448,0,3,12,5,41,22,1,6,0,2000
Lothar Matthaus,MET,D,16,16,1345,0,3,15,5,15,20,1,6,0,2000
David Vaudreuil,COL,D,28,28,2479,0,3,17,1,31,23,3,0,0,2000
Brian Kamler,MIA,M,28,20,1977,0,3,18,5,19,28,1,3,0,2000
Nelson Vargas,MIA,M,14,10,893,0,3,19,8,11,28,1,0,0,2000
Paul Dougherty,COL,F,24,19,1596,0,3,24,9,22,32,0,2,0,2000
Jamie Clark,SJ ,D,8,5,501,0,2,0,0,5,3,0,1,0,2000
Ricardo Iribarren,DAL,D,22,21,1675,0,2,1,1,53,14,0,10,0,2000
Peter Byaruhanga,KC ,F,6,2,170,0,2,3,1,0,9,1,0,0,2000
Brian Johnson,KC ,M,18,4,586,0,2,4,1,9,1,1,1,0,2000
Ramiro Corrales,MET,M,22,15,1460,0,2,7,2,24,27,3,5,1,2000
Thomas Dooley,MET,D,20,17,1318,0,2,8,3,30,9,2,3,0,2000
Jimmy Conrad,SJ ,D,26,25,2377,0,2,9,2,56,24,0,6,1,2000
Richie Williams,DC ,M,29,27,2445,0,2,11,4,68,37,2,9,0,2000
Daniel Hernandez,MET,M,17,15,1351,0,2,11,4,28,21,0,4,2,2000
Chris Martinez,COL,D,30,30,2662,0,2,11,5,70,16,0,6,0,2000
Eddie Pope,DC ,D,21,21,1740,0,2,13,6,30,24,1,0,0,2000
Sergi Daniv,DAL,M,18,16,1319,0,2,15,5,30,33,3,4,2,2000
Mike Burns,NE ,M,26,20,2011,0,2,17,5,22,16,1,5,0,2000
Bobby Convey,DC ,M,22,18,1614,0,2,38,20,30,20,8,5,0,2000
Rob Smith,CLB,M,1,1,39,0,1,0,0,3,0,1,0,0,2000
Richard Farrer,DAL,D,28,20,2095,0,1,0,0,17,19,0,2,0,2000
Jeff Bilyk,MIA,M,9,7,613,0,1,2,0,19,11,1,4,0,2000
Micah Cooks,DC ,M-D,5,2,165,0,1,2,2,4,3,0,0,0,2000
Ryan Tinsley,SJ ,D,25,23,2048,0,1,2,0,31,18,0,3,0,2000
Shaker Asad,NE ,M,8,2,246,0,1,3,0,14,4,0,2,0,2000
Eric Denton,DC ,D,16,12,1114,0,1,3,1,7,10,1,2,0,2000
Leo Cullen,MIA,M,22,22,1944,0,1,3,0,17,14,0,4,0,2000
C.J. Brown,CHI,D,27,27,2497,0,1,4,1,42,44,0,7,0,2000
John DeBrito,CLB,D,20,17,1466,0,1,4,1,30,19,0,7,0,2000
Dan Calichman,NE ,D,20,20,1750,0,1,5,2,29,15,0,4,0,2000
Justin Evans,CHI,M,15,11,1040,0,1,5,0,22,12,0,1,0,2000
Travis Mulraine,SJ ,M,15,7,622,0,1,5,1,22,10,1,2,1,2000
Pablo Mastroeni,MIA,M,29,29,2661,0,1,5,2,55,39,2,8,2,2000
Roland Aguilera,CLB,M,16,3,445,0,1,8,1,16,8,0,2,0,2000
Giovanni Savarese,SJ ,F,4,4,303,0,1,11,4,2,4,5,0,0,2000
Antonio Otero,DC ,M,13,10,954,0,1,13,4,15,18,3,1,0,2000
Lance Key,COL,D,21,21,1940,0,1,14,2,35,27,0,6,0,2000
Chris Brown,KC ,M-F,22,10,1116,0,1,15,5,10,20,6,1,0,2000
John Wilson,KC ,D,3,1,103,0,0,0,0,4,2,0,0,0,2000
Craig Waibel,COL,D,2,0,62,0,0,0,0,2,3,0,0,0,2000
Ubusuku Abukusumo,TB ,D,0,0,0,0,0,0,0,0,0,0,0,0,2000
Uche Okafor,KC ,D,14,2,398,0,0,0,0,13,4,0,2,0,2000
Gerard Lagos,TB ,F,0,0,0,0,0,0,0,0,0,0,0,0,2000
Yuri Lavrinenko,CHI,M,3,1,55,0,0,0,0,1,1,0,0,0,2000
Chris Houser,TB ,D,3,0,56,0,0,0,0,0,0,0,0,0,2000
Chris Jahr,CHI,D,2,2,180,0,0,0,0,2,2,0,0,0,2000
Ernest Inneh,TB ,F,0,0,0,0,0,0,0,0,0,0,0,0,2000
Ihor Dotsenko,KC ,F,2,2,90,0,0,0,0,0,1,0,0,0,2000
Gabe Eastman,SJ ,D,2,1,135,0,0,0,0,0,1,0,0,0,2000
Ryan Edwards,SJ ,F,1,0,8,0,0,0,0,0,0,0,0,0,2000
Michael Green,KC ,D,0,0,0,0,0,0,0,0,0,0,0,0,2000
Julian Gomez,MET,M,3,0,33,0,0,0,0,3,0,0,0,0,2000
Keith Beach,MIA,M,1,0,8,0,0,0,0,0,0,0,0,0,2000
Steve Bernal,DAL,D,0,0,0,0,0,0,0,0,0,0,0,0,2000
Danny DeVall,COL,M,2,1,110,0,0,0,0,1,0,0,0,0,2000
Nino Da Silva,MET,F,3,0,25,0,0,0,0,3,1,0,0,0,2000
Matt Chulis,CLB,D,6,2,165,0,0,0,0,8,1,0,2,0,2000
Christoff Lindenmayer,CLB,M-F,0,0,0,0,0,0,0,0,0,0,0,0,2000
Mario Longo,CLB,M,0,0,0,0,0,0,0,0,0,0,0,0,2000
Mike Slivinski,DC ,M,2,0,32,0,0,0,0,1,0,1,1,0,2000
Sergio Salas,DC ,F,1,0,18,0,0,0,0,1,0,0,0,0,2000
O'Neil Peart,MET,F,0,0,0,0,0,0,0,0,0,0,0,0,2000
Clint Peay,DC ,D,0,0,0,0,0,0,0,0,0,0,0,0,2000
Brandon Pollard,DAL,D,15,9,828,0,0,0,0,14,13,0,1,0,2000
Angel Rivillo,DAL,M-F,1,0,19,0,0,0,0,0,0,0,0,0,2000
Sheldon Thomas,LA ,F,1,0,9,0,0,0,0,0,1,0,0,0,2000
Alijohn Utush,COL,D,0,0,0,0,0,0,0,0,0,0,0,0,2000
Tim Weaver,SJ ,D,0,0,0,0,0,0,0,0,0,0,0,0,2000
Kirk Wilson,DAL,M,1,1,45,0,0,0,0,0,1,0,0,0,2000
Alan Woods,COL,D,1,0,5,0,0,0,0,0,0,0,0,0,2000
Todd Yeagley,CLB,M,25,24,2192,0,0,0,0,34,33,0,5,0,2000
Fabio Zuniga,NE ,F,1,1,33,0,0,0,0,3,0,1,0,0,2000
Maurizio Rocha,MIA,M,2,1,91,0,0,1,1,1,2,0,0,0,2000
Dominic Schell,CLB,M-D,7,1,138,0,0,1,0,8,6,0,0,0,2000
Dahir Mohammed,MET,D,3,1,208,0,0,1,0,5,4,0,1,0,2000
Jeremy Aldrich,MIA,D,4,1,154,0,0,1,0,0,4,0,0,0,2000
Ray Goodlett,DC ,D,4,3,223,0,0,1,0,6,3,0,1,0,2000
Sam George,CHI,M,16,3,321,0,0,1,0,5,3,1,0,0,2000
Brian Haynes,DAL,M,1,0,23,0,0,1,0,1,0,0,0,0,2000
Tahj Jakins,COL,D,3,2,175,0,0,1,1,8,4,0,1,1,2000
Mohammad Khakpour,MET,D,5,5,382,0,0,1,0,8,4,0,2,0,2000
Jorge Salcedo,LA ,M,5,3,251,0,0,1,1,5,1,0,1,0,2000
Wade Barrett,SJ ,D,3,2,163,0,0,1,1,4,1,0,1,0,2000
Adam Frye,LA ,D,6,3,238,0,0,1,0,4,6,0,0,0,2000
Nick Garcia,KC ,D,32,32,2916,0,0,1,0,33,47,0,3,0,2000
Orlando Perez,MET,D,15,4,546,0,0,1,1,9,12,1,1,1,2000
Seth Trembly,COL,M-D,4,0,21,0,0,2,1,1,1,0,1,0,2000
Tenywa Bonseu,CHI,D,2,1,92,0,0,2,1,2,1,0,0,0,2000
Keyeno Thomas,COL,M-D,12,5,592,0,0,2,0,17,7,0,1,0,2000
Adam Eyre,NE ,D,10,8,742,0,0,2,2,11,3,0,1,0,2000
Jeff DiMaria,COL,F,4,2,193,0,0,2,1,5,6,0,1,0,2000
Francis Okaroh,MIA,D,13,13,1191,0,0,2,0,18,10,0,3,0,2000
Amos Magee,TB ,F,7,0,51,0,0,2,1,0,1,1,0,0,2000
Miroslaw Rzepa,CLB,M-D,5,4,352,0,0,2,0,9,3,0,1,1,2000
Mark Semioli,MET,D,16,7,715,0,0,3,1,11,17,0,0,0,2000
Brandon Prideaux,KC ,D,31,31,2809,0,0,3,2,38,58,0,4,0,2000
Tim Sahaydak,MIA,D,9,7,709,0,0,4,1,13,5,0,1,0,2000
Carlos Parra,NE ,M,14,4,438,0,0,4,0,20,4,0,5,0,2000
Steve Armas,CLB,M,4,4,276,0,0,4,1,5,2,1,2,0,2000
Marvin Quijano,LA ,F,5,1,185,0,0,5,1,2,4,5,0,0,2000
Eduardo Hurtado,NE ,F,3,1,161,0,0,5,2,3,3,5,0,0,2000
Manuel Bucuane,TB ,F,6,1,147,0,0,5,1,2,2,4,0,0,2000
Rusty Pierce,NE ,D,29,29,2600,0,0,6,1,66,55,0,7,0,2000
Ivan Polic,LA ,M,12,4,378,0,0,6,2,12,6,0,1,0,2000
Alex Bunbury,KC ,F,5,3,259,0,0,6,0,7,6,3,0,0,2000
Mike Burke,DAL,F,9,4,331,0,0,6,2,10,3,3,2,0,2000
Robin Fraser,LA ,D,25,24,2244,0,0,7,1,35,17,0,5,1,2000
Scott Bower,SJ ,M,12,5,537,0,0,10,4,12,6,1,3,0,2000
David Hayes,DC ,F,10,4,414,0,0,10,3,7,3,3,0,0,2000
Alex Pineda Chacon,MIA,M,25,23,2055,19,9,63,36,14,38,7,0,0,2001
Diego Serna,MIA,F,22,22,1978,15,15,90,37,73,72,27,8,2,2001
John Spencer,COL,F,23,22,2083,14,7,76,36,43,50,24,5,0,2001
Abdul Thompson Conteh,DC ,F,25,17,1676,14,1,71,45,26,23,30,2,0,2001
Ariel Graziani,DAL,F,25,24,2208,11,8,83,40,39,41,37,6,0,2001
Ronald Cerritos,SJ ,F,25,23,1954,11,6,45,30,27,20,23,0,0,2001
Jeff Cunningham,CLB,F,22,20,1770,10,13,72,32,25,55,19,3,1,2001
Eric Wynalda,CHI,F,24,13,1349,10,5,53,25,21,12,19,1,0,2001
Jaime Moreno,DC ,F,24,23,1888,9,6,60,40,31,87,9,4,0,2001
Mamadou Diallo,TB ,F,22,20,1818,9,5,94,41,31,42,56,5,1,2001
John Wilmar Perez,CLB,M,25,23,2105,8,15,41,20,19,52,2,3,0,2001
Preki,MIA,M,24,24,2139,8,14,80,40,19,48,2,3,0,2001
Cate,NE ,M,22,20,1807,8,8,47,23,16,36,13,1,1,2001
Manny Lagos,SJ ,M,26,26,2310,8,8,65,39,38,64,4,3,1,2001
Dema Kovalenko,CHI,M,25,25,2311,8,7,45,21,35,49,6,8,0,2001
Brian Maisonneuve,CLB,M,25,25,2184,8,5,26,14,57,28,3,1,0,2001
Luis Hernandez,LA ,F,14,12,1189,8,3,45,29,27,43,23,6,0,2001
Rodrigo Faria,MET,F,21,11,1344,8,2,55,30,29,21,16,2,0,2001
Landon Donovan,SJ ,M-F,22,17,1666,7,10,46,26,30,40,8,3,0,2001
Jason Kreis,DAL,M,25,25,2175,7,10,77,32,31,38,15,2,0,2001
Steve Ralston,TB ,M,25,25,2221,7,6,18,11,25,43,4,1,1,2001
Clint Mathis,MET,M,10,10,905,7,5,44,17,15,26,10,6,0,2001
Sasha Victorine,LA ,M,24,21,1758,7,5,46,24,19,35,19,0,0,2001
Dante Washington,CLB,F,21,13,1203,7,3,38,24,13,36,13,0,0,2001
Roy Lassiter,KC ,F,23,19,1648,7,1,29,18,29,37,24,5,0,2001
Peter Nowak,CHI,M,18,18,1560,6,10,39,16,15,48,5,3,1,2001
Cobi Jones,LA ,M,22,22,1890,6,10,41,23,22,58,15,1,0,2001
Jim Rooney,MIA,M,25,25,2294,6,9,40,23,45,25,3,6,0,2001
Hristo Stoitchkov,CHI,F,17,10,916,6,5,53,28,14,27,9,4,0,2001
Jorge Rodriguez,DAL,M-D,24,24,2232,6,4,35,17,35,18,0,5,0,2001
Greg Vanney,LA ,D,22,22,2032,6,3,21,14,32,11,0,8,0,2001
Matt Okoh,NE ,F,18,9,885,6,2,40,19,39,24,12,5,0,2001
Paul Bravo,COL,M,23,15,1352,6,0,43,21,21,40,9,1,0,2001
Bobby Rhine,DAL,M,18,10,972,5,7,37,24,24,20,11,2,0,2001
